cust_id,first_name,last_name,gender,dob,Pancard,aadhar
1546686,Michael,Maxwell,M,11-01-2010,uVKdl7813N,424000000000.0
8195564,James,Burke,F,25-08-1976,bZqWg4305e,3.13E+11
9096041,Michelle,Peterson,M,11-08-2018,iXDwP3150a,9.81E+11
1248847,Samantha,Robbins,F,01-05-2005,hayuW1284q,2.69E+11
4457754,Claudia,Young,F,26-05-2006,JEqXl2509e,5.06E+11
8760813,Audrey,Stevens,F,19-01-1974,qpNGS5254S,9370032689
9242586,Lisa,Hansen,F,21-09-2016,JOCSF2018Z,4.24E+11
5656024,Danielle,Dixon,M,09-09-1993,yrnLI4489t,5.60E+11
3688205,Joshua,Mason,F,13-12-1978,KsjDl4287u,2.60E+11
1577196,Tiffany,Hughes,M,01-12-1991,YdaVt2687U,2.02E+11
9735382,Nathan,Campbell,M,19-04-1985,MVLIG5405Y,1.26E+11
9222271,Justin,Glover,M,06-08-2012,YFIkY8796T,6.58E+11
6499115,Tracy,Green,F,17-05-1983,RNQlF2862A,3250465794
2276567,Paige,Soto,F,07-10-2013,SGVrk3978O,8.47E+11
5194248,James,Gray,M,18-02-2020,rPPLQ4307W,6.78E+11
7059236,David,Gray,F,14-04-1972,KjYSU9828V,9.12E+11
1747532,Christopher,West,F,17-04-2018,WyIbD3628g,1.12E+11
8053077,Anna,Avery,M,21-04-1984,GLPpy2863m,7.10E+11
3326819,Madeline,Christensen,F,26-07-2008,jbwwk587A,4.39E+11
6957282,Kevin,Martinez,F,28-06-2007,lRMNK4702A,2.51E+11
7402286,Michael,Adams,M,17-01-2003,bNxGM9060K,7.88E+11
8067637,Dylan,Martinez,F,02-12-2013,eOkoN2124G,7.03E+11
5758324,George,Glover,F,07-08-2008,lDaPK8723F,6.99E+11
5401017,Kevin,Holland,M,23-02-2012,EPZRK7779J,6.21E+11
8664354,Christine,Farrell,M,21-07-1998,zRCLs354R,8.38E+11
3930486,April,Munoz,M,24-07-1985,DTfFu3468Q,4.33E+11
6085259,Erin,Mcbride,M,04-01-2014,CtNir9124Z,7.98E+11




